Community,Members
34,ala content of plasma; ala yield; alfalfa hay; barley grain diets; conjugated linoleic acids in milk fat; corn silage-based diets; daily intake of fat; diets with <60 g of fat/kg of dry matter; el supplementation; extruded linseed (el); extruded linseed supplementation; fat:protein ratio; gf; ground flaxseed (gf); heat-treated flaxseed; heated ground flaxseed (hgf); hgf; la treatment of barley grain; late-lactating holstein cows; milk ala yield; milk fat composition; milk fat content; milk fatty acid (fa) profile; milk protein content; milk trans-10 18:1 proportion; n-3 fatty acids in milk fat; pepsin-digestible protein; production performance; rumenic acid; ruminal biohydrogenation pathways; ruminal disappearance of ala; ruminal disappearance of crude protein; ruminal disappearance of dry matter; subacute rumen acidosis; total polyunsaturated fa; trans-10 18:1; trans-11 18:1; trans-11 18:1 to trans-10 18:1 conversion; ufcp treatment; ufcp-treated flaxseed; ufcp-treated ground flaxseed (ufcpgf); ufcpgf; vaccenic acid; α-linolenic acid
35,bovine respiratory disease; calprotectin; casein; cheese whey protein; cheese whey protein effects; commercial facilities; cysteine; dairy calves; diarrhea; diarrhea in calves; dss-induced gut inflammation; fecal bifidobacteria; fecal blood; fecal blood loss; fecal lactobacilli; fecal mucin secretion; group pens; gut inflammation; gut protection; heterogeneity; inducible nitric oxide synthase; inflammation markers; inflammatory bowel disease; interleukin 1beta; intestinal mucin synthesis; intratracheal pulmonary infection (itpi); itpi; microflora composition; mortality in calves; muc2 gene expression; mucin synthesis; multisource commingled; multisource commingled dairy calves; odds ratio; publication bias; respiratory disease; successful transfer of passive immunity; threonine; threonine and cysteine; threonine and cysteine supplementation; veal production
36,acidification; acidification activity; acidification of milk by gdl; aminopeptidase activity; autolytic activity; bacterial growth; cheese production; cheesemaking; cnr culture; high hydrostatic pressure treatment; high hydrostatic pressure treatments; koumiss; l-leucine-p-nitroanilide; lactococcus strains; lactose concentration in milk; lethality of bacteria; natural fermented milk; optimal growth temperature; ph value; pressure treatment (300 mpa); pressure treatment (400 mpa); proteolytic activity; reconstituted skim milk; rehydration and functional properties of mpc powder; s. enteritidis; salmonella population; salmonella repair and growth; salmonella survival; severity of mastitis; simulated cheese-like buffer; starter culture; sterile reconstituted skim milk; strains q14c2 and q16c; strains x9c2 and t1c2; strains x9c2 and t7c
37,akt; akt-p; alveolar tissue; cis; cis mrna; elovl5 expression; igf1; igf1 mrna; igf1-akt signaling; igf2; igf2 mrna; igfbp5 mrna; involution process; mammary epithelial cells; mammary gland involution; peak lactation; postmilking time; quiescent mammary epithelial cells; reversible phase; senescent phase; socs1 mrna; socs1-3; socs2 mrna; socs3; socs3 mrna; stat3; stat3-p; stat5; stat5 pathway; stat5-p; time points postmilking; time postmilking
38,beta-galactosidase; cheese meltability; crossover temperature; divalent metal ions; edta; galactose; half-life; hlc cheese; hydrolysis of lactose; insoluble calcium; isoelectric point; k(m) value; lactic acid; lactose; lactose hydrolysis; llc cheese; maximum loss tangent; metal cations; milk processing; mlc cheese; molecular mass; polyacrylamide gel isoelectric focusing; production of galactooligosaccharides; recombinant thermostable enzyme; sodium dodecyl sulfate-page; softening point; sulfhydryl group blocking reagents; thermal inactivation; thermostable enzyme; thiol reagents; transgalactosylation; v(max) value
39,body reserves; breeds; bw at calving (bwcalv); data; de-regressed predicted transmitting abilities (pta); dm intake (dmi); dose effect; genomic evaluations; genomic preselection; genomic relationships; genomic reliabilities; genotyped animals; heritable traits; interval between first insemination and conception; joint north american database; lactation efficiency; lifetime efficiency indicators; lifetime lactation efficiency (life_eff); mechanistic bioenergetic model; number of animals; number of genotyped animals; number of markers; number of operations; nutritional environments; pedigree relationships; pedigrees; phenotypes; regression testing; single-step models; third-lactation cows; total milk production; traditional animal models
40,700 mg of bst/14 d; abduction/adduction of the rear legs; aseptic quarter milk samples collection; association between cadyn and diseases; asymmetric steps; back arch; birth weights; calving; cellular rate; dystocia scores; gait score; head bob; hoof pathologies; intraobserver accuracy; joint flexion; lying bouts; lying time; multiparous cows; nrs; nrs (numerical rating system); numerical rating score (nrs); periparturient period; primiparous heifers; reluctance to bear weight; sole ulcers; tracking-up; ulcer development; ulcer presence; ulcers; walking speed
41,abnormal beef flavour; abnormal flavour; beef flavour; biceps femoris (bf) muscles; collagen; collagen characteristics; collagen xiv; collagen xiv to total pgs ratio; decorin; decorin to total collagen ratio; decorin to total pgs ratio; ecm molecules; endomysium area; juiciness; measured parameters; meat texture; overall liking; perimysium area; pgs; ratio of minor ecm molecules to total pgs; sensory qualities; sensory tenderness; tenascin-x; tenascin-x to total pgs ratio; total collagen; total pg content; total proteoglycan (pg) content
42,animal groups; author; authors; breeding females; breeding organisation; country; economic values; economic values (evs); economically important traits; environmental effects; estimated breeding value (ev); estimated evs; genetic evaluation method; inter-relationships between traits; modeling; raw data; relationships among traits; reproductive cycles; sexes; trait definition; trait evaluation; trait relationships; traits
43,continuous focal animal sampling; ewe parity; faecal cortisol levels; faecal oestradiol concentrations; following duration; grooming behavior; grooming duration; lamb weight gain; large pen size; low-pitched bleats; maternal behaviour; multiparous ewes; pen size; primiparous ewes; sheep production in china; small pen size; small-tail han sheep; suckling behavior; suckling duration; suckling durations; udder refusal frequency; udder refusals
44,adulterated milk; ceph; diagnostic specificity; dna isolation; enumeration results; fatty acid data; gfc information; lamp assay; lysing enzymes; mastitis pathogens; principal component analysis; principal components; rapid dna isolation procedure; raw milk; raw milk field samples; sensory profiles; soda; soda lamp assay; strep. uberis; strep. uberis culture-negative; strep. uberis culture-positive
45,advance-placement biology; agricultural science majors; anatomy and physiology preparation; animal anatomy and physiology; apsc grade; biochemistry juniors; biology majors; biology students; exam performance; female students; final course grades; final grade percentage; final grades; junior males; junior students; male students; other seniors; senior males; sophomore males; students classified as 'other'
46,automated milking system (ams) herds; freestall with milking parlor (fs) herds; hoof-trimmer; housing systems; intervention group status; lameness detection; lameness monitoring; lameness prevalence; management changes; mo farms; ms farms; producer awareness; producers; questionnaire; record-keeping; tiestall (ts) herds; training; treatment of lameness; veterinarians; year of visit
47,ampicillin trihydrate; category of medicated feed; ceftiofur hydrochloride; cloxacillin benzathine; drug residues in milk; dry cow treatment for mastitis; errors due to hired help; frequency of use of medicated feeds; insufficient identification and record of animals treated for mastitis; insufficient knowledge about withdrawal periods; intramammary infection (imi) postcalving; medicated feeds; metritis treatment; not reading the label; number of hired persons; preexisting infections; pregnancy at first insemination (p/ai); producer's attitude toward public health significance of residues; residue problems
48,bcs; bft; bhb; calcium (ca); ch4; copper (cu); ebw; ewe blood parameters; glutamate dehydrogenase (gldh); iron (fe); magnesium (mg); nonesterified fatty acids (nefa); phosphate (p); potassium (k); se level; selenium (se); sodium (na); zinc (zn)
49,apparent total-tract starch digestibility; degradation rate; degradation rate of starch; dry ground corn; dry ground corn (dgc); floury corn; floury corn grain; high-moisture corn (hmc); insp6 effective degradation; microbial n flow; nonammonia n flow to the duodenum; nonammonia nonmicrobial n flow; passage rate of starch; rumen passage rate; true ruminal starch digestibility; vitreous corn; vitreous corn grain
50,bleached liquid wpc; bleached wpc80; bleaching; cardboard flavor; composition; flavor of spray-dried wpc80; liquid storage; liquid whey; liquid wpc storage; liquid wpc80; off-flavors; storage; sweet aromatic flavor; unbleached liquid whey storage; volatile lipid oxidation products; whey protein concentrate (wpc) manufacture
51,1100 to 2400 nm region; 700 to 1100 nm region; accuracy of determination; fat determination; first derivative data transformation; lactose determination; milk fat determination; on-line sensors; sample thickness; spectral data treatment; spectral region; total protein determination; wavelength 734 nm; wavelength 776 nm; wavelength 930 nm
52,c16:1n-7 concentration; c18:1n-7 concentration; c18:1n-9 concentration; dgat1 expression; dgat2 expression; diacylglycerolacyltransferase 2 (dgat2) expression; elovl5 knockdown; elovl5 overexpression; fads1 expression; fads2 expression; fatty acid desaturase 2 (fads2) expression; perilipin2 (plin2) expression; plin2 expression; scd1 expression; stearoyl-coa desaturase 1 (scd1) expression
53,glycogen content in longissimus thoracis (lt); glycogen synthase (gs) mrna levels; glycolytic potential; lactate content; lactate dehydrogenase (ldh) enzyme activity; ldh mrna levels; lightness value of meat; meat redness value; methyl donor (met) supplementation; methylation; methylation at the gs promoter; methylation at the ldh promoter; ph of meat; prenatal bpa exposure; redness value of meat
54,brazilian tables (bt-2017); bt-2017; coefficient of variation (cv); escherichia coli o157:h7; human plasma and serum; humans; individual precision-feeding model (ipf); ipf-80; metabolomic analysis; national research council (nrc-2012); nrc-2012; pigs; plasma and serum profiles; sid lys requirements
55,analytical platform; biochemical categories; human-pig comparisons; maillard browning; metabolites; metabolomic studies; multivariate analysis; porcine plasma; porcine serum; quality control; statistical analyses; targeted metabolomic platform; univariate analysis; univariate and multivariate approaches
56,adhesion function; adhesion properties; bovine milk lipids; esterase activity; gastrointestinal tract colonization; ht-29 cells; l. reuteri sh-23; lep; limosilactobacillus reuteri sh-23; multifunctional protein; pufa releasing properties; pyruvate kinase m1/2 (pkm)
57,altitude; annual maxima mean; annual minima mean; annual rainfall; breed distribution; climate changes; climate parameters; maxima mean of the hottest month; minima mean of the coldest month; pluviothermic coefficient of emberger q 2; representative stations; sheep breeds
58,amino acid analysis; doppler ultrasonography; fetal bcaa uptake; glucose levels; maternal serum concentrations of aa; maternal serum concentrations of glucose; melatonin supplementation; nutrient restriction; umbilical blood flow; uterine blood flow; uterine flux of aa; uterine flux of glucose
59,cp degradability; cylinder-type forage harvester; dm degradability; ensiling; forage conservation; grass-clover; harvesting method; large round bales; pulp; self-loading wagon; stack silo
60,adsorption-induced fouling; deposit layer; flux; membrane control; membrane length; membrane position; membrane resistance; pressure-induced fouling; transmembrane pressure; β-lg mass flow; β-lg permeation
61,alternating whey/uf biofilms; bacilli; bacillus isolate; bacterial colonization; biofilm cleaning process; surface roughness; uf biofilms; uf permeate biofilms; whey biofilm; whey biofilms; whey/uf permeate biofilms
62,conservation method; conservation method of corn grain; diet formulation for lactating cows; digestion kinetics; endosperm type; flow of n fractions to the duodenum; flow of nitrogen fractions to the duodenum; ruminal; ruminal digestibility of starch; ruminal kinetics; site of nutrient digestion
63,acetate uptake; bicarbonate; bicarbonate-dependent acetate uptake; butyrate uptake; gt (tissue conductance); mannitol flux; mucosal ph; na+ concentration; scfa uptake; serosal ph; tissue integrity
64,fetal uptake of bcaa; maternal arterial - venous difference in total α-aa; maternal arterial-venous difference in total α-aa; maternal nutrient restriction; res feed; total uterine α-aa flux; total α-aa concentrations in gravid uterine vein; total α-aa concentrations in maternal artery; uterine uptake of glucose; uteroplacental uptake of glucose; α-aa concentrations
65,bovinesnp50 beadchip; guernsey cattle; high-density genotypes; imputation accuracy; jersey cattle; low-density chip; low-density genotypes; predictive ability; reference population; single-trait gwa analyses
66,aa (amino acids) degradation; chemical protein fractions; chemical protein fractions b3 and c; cp (crude protein); cp (crude protein) degradation; cped6; insp6 (inositol hexakisphosphate) degradation; insp6ed6; protein degradation; ruminal insp6 degradation
67,amino acid concentrations; amino acid flux across the uteroplacenta; dietary melatonin supplementation; fetal growth; fetal size; glucose concentrations; glucose flux across the uteroplacenta; intrauterine growth restriction; nutrient availability to the fetus; umbilical artery blood flow
68,coefficient of variation; e. coli o157:h7 detection; e. coli o157:h7 detection in milk samples; fluorescence elisa; hazardous material detection; limit of detection; linear range; recovery rate; ss-dnat; traditional elisa
69,algae supplement; concentrate feed; copper metabolism; holstein friesian lactating cows; i (iodine) concentration in milk; i (iodine) levels; mineral status; molybdenum status; morning milking; selenium levels
70,corn grain treatments; dietary ndf; dietary ruminally fermentable carbohydrate (rfc); dietary starch; high-producing lactating dairy cows; high-starch diets; low-starch diets; nis; performance
71,haplotype segments; inverse weight selection (iws) algorithm; iws algorithm; iws method; previously published methods; rare frequency haplotypes; us holstein population; wgs surveys; wgs surveys efficiency
72,bt-2017 method; bt-2017 model; group-fed pigs; ipf model; ipf-80 model; maximum population responses; nrc-2012 method; nrc-2012 model; phase length
73,deviations from strictly polygenic breeding values; genotypes at molecular markers; mixed-model equations; pedigree; records; regular mixed-model equations; single-step genomic blup (ssgblup); single-step method; single-step mixed-model equations
74,atm infiltration; carbohydrate fermentation; carbohydrate fermentation strategy; glucogenic diet; glucogenic precursors; high energy diet with blend of feeds; lipolytic stimulus; rumen fill; transition cows
75,amino acids (aa); ammonia absorption; body maintenance functions; faac quantification; fermentative catabolism (faac); high cp and energy levels; muscle met concentrations; protein synthesis; small intestine
76,advanced optimum contribution selection (aocs); aocs; aocs strategies; breed management; breeding costs; flows of replacement of sires (for strategies); management of the minor allele frequency (mc); rate of inbreeding; stochastic simulations
77,atmospheric dispersion model; cattle confinement; ch4 emissions measurement; extensive grazing conditions; herd scale; herd-scale emissions; indirect open-path spectroscopic technique; micrometeorological methodology; open-path lasers
78,epithelium; glandular development; leukocytosis; lumen; pregnant jersey heifers; s. aureus infection; secretion potential; stroma; treatment with cephapirin
79,computer spreadsheet application; cost per cow; cost per unit of area; cost prediction; dairy managers; decision-making; number of cows to be housed; three rows of free stalls
80,biconjugate gradient stabilized method; computational cost; genetic evaluation software; nonsymmetric solver; regular ssgblup; successive overrelaxation; successive underrelaxation; unsymmetric extended ssgblup
81,heritabilities of disorders; incidence of disorders; milk yield (my1); milk yield (my2); previous claw disorder; recursive linear models; recursive threshold models; threshold models
82,cheese characteristics; cheese quality; fat reduction; goat gouda-type cheese; majorero cheese; phosphatidylcholine content; sphingomyelin content; supercritical co(2)
83,fertility in dairy cows; gnrh presynchronization; nonpresynchronized cows; ovulatory response; pregnancies per ai (p/ai); progesterone (p4) levels at g1; timing of initiation of resynchronization; timing of resynchronization initiation
84,effective rumen degradable dm; energy density; he; hes; le; potentially degradable dm fraction; rate of degradation of fraction b; undergradable dm fraction
85,energy; milk urea n; n efficiency; n prediction; national research council model; postabsorptive system; productive n losses; protein
86,biofilm; biofilm formation; lpf1; lpf2; lpfa; mpec adhesion; mpec invasion; proinflammatory response
87,disappearance rate of cp; dm-soluble fraction; effective degradability of dm; fresh grass; hay; protein degradability; silage; wilted grass
88,"average herd somatic cell count (hesccav); average proportion of new high scc cases (nhiscc); farmer-reported annual incidence rate of clinical mastitis (ircm); high dimensionality; recordings of cow, stall, and ams hygiene; risk factor data; udder-health-associated dependent variables; variance of the average herd somatic cell count (hesccvar)"
89,genomic evaluation; haplotype effects; iterative ssgblup; marker effects; nonlinear methods; pedigree and records evaluation; pedigree evaluation; ssgblup mixed model equations
90,adipocyte diameter; cd172a+ cells in svf; feed restriction (fr); lipolytic response; m1 markers (cd14); net energy for lactation; phosphorylation of hormone sensitive lipase; plasma nonesterified fatty acids
91,actinobacteria; ay inclusion; catenibacterium; clostridium; collinsella; coriobacteriaceae; coriobacteriia; marvinbryantia
92,daily intake of fat from el; mono- and polyunsaturated fa levels; oleic acid levels; palmitic acid levels; rumenic acid levels; saturated fa levels; vaccenic acid levels; α-linolenic acid levels
93,dh × dj cross; dh × dr cross; dr × dj cross; heterosis effects for l2; heterosis effects for l3; heterosis effects for l4; heterosis effects for l5
94,bacillus cereus; cesb; cronobacter sakazakii; food-borne pathogens; inva; ompa; salmonella spp.
95,ad libitum access to feed; grass-based production system; heritability of body reserve levels; high non-limiting scenario (hs); limiting scenarios; low scenario (ls); moderate scenario (ms)
96,blup; blup procedures; first 50 progeny; random sample of 50 progeny; random sample of 500 progeny; sire evaluation; threshold model
97,cell wall sugars; cellulase treatment; combined treatment (so2 plus cellulase); matrix sugars; residual cell wall; straw digestibility; sulfur dioxide treatment
98,austrian dairy farms; calf health; calf rearing management; european law; future productivity; high-quality colostrum; national law
99,annual rainfall variations; breed endangerment; first breed; high altitude areas; pasture quality; pluviothermic coefficient; timahdite breed
100,backward selection procedures; bulk tank somatic cell count; multivariable logistic regression analysis; number of recorded veterinary treatments; standard deviation of milk yield for first lactation cows; univariable screening; voawl
101,accessory gene regulator (agr); agr types; capsular types; cow classification; host's immune system; mastitis severity; virulence factors
102,1.0% ay in the diet; blood urea nitrogen; class coriobacteriia; eosinophil count; feed conversion ratio; neutrophil/lymphocyte ratio (n/l ratio); phylum actinobacteria
103,alcohol; antioxidation indicators; gut bacterial microbiota; gut viral microbiota; liver function-related indicators; liver levels; liver levels of il-1β
104,following; lamb age; low-pitched bleating; maternal grooming; suckling; udder acceptance; udder refusing
105,by-product diet; homegrown diet; milk concentrations of mg; milk concentrations of na; milk concentrations of se; serum concentrations of p; serum concentrations of se
106,average gpta for nm$; heterozygous polled cows; ho breed; homozygous polled bs cows; horned bulls; horned cows; je breed
107,high cell count; impaired animal welfare; inadequate feeding and management of dry or calving cows; inadequate management of sick animals; low number of recorded veterinary treatments; poor hygiene
108,calcium addition; calcium concentration in brine; calcium loss from cheese; progressive brining; surface defect; water content of cheese
109,buffalo milk protein composition; milk protein fraction contents; nongenetic factors; protein genetic variants; relative proportions of milk protein fractions; reversed-phase hplc
110,fat extraction; microbial population; microstructure of cheese; polar lipid profile; supercritical co(2) pressure; supercritical fluid extraction
111,"herd size < 27 lactating cows; herd size > 62 lactating cows; milk contribution; scc > 500,000/ml; scc contribution; subregions"
112,analytical models; animal models; breeding values; genetic evaluation; random regression models; test-day phenotypes
113,in vitro intestinal digestibility of rumen undegradable protein; insp6; rapidly degradable fraction (a) of cp; ruminal cp degradation; ruminal degradation parameters; slowly degradable fraction (b) of cp
114,ca salts of palm fatty acids (ca-pfa); dietary digestible energy (de) concentrations; fat supplements; hydrogenated triacylglycerides from palm oil (hpo); latin square experiment; plasma beta-hydroxybutyrate concentrations
115,chemicals; livestock; livestock products; persistent residues; preparation of products; withholding times
116,net area under the curve for glucose; net area under the curve for insulin; preinfusion bst concentrations; preinfusion glucose concentrations; preinfusion insulin concentrations; sometribove treatment
117,association of beef cattle and sheep; cow bcs; cow bw; ewe bcs; ewe bw; self-sufficient production of grass-fed meat
118,"2,3-pentanedione; 3-hydroxybutanoic acid; glyoxal; l-lysine; methylglyoxal; nutritional qualities"
119,cheese whey; heating; polymerized whey protein; thickening agent; yogurt; yogurt making
120,dietary p supply; metabolic fermentation profile; microbial composition; nutrient degradation; semicontinuous rumen simulation technique
121,gelation point; lactobacillus delbrueckii ssp. bulgaricus (r); noncapsule-forming nonropy cultures (ncnr); streptococcus thermophilus (cnr); yogurt structure formation
122,ammonia treatment of high dm silage; ammonia treatment of low dm silage; digestible energy intake; dm silage; intake of high dm silage
123,detection of pathogens; false-negative results; internal amplification control; milk and milk products; multiplex pcr (mpcr)
124,casp treatment; caut treatment; eschar formation; open wounds; scab formation
125,closed wounds; clov treatment; cryo treatment; healed skin; lesion formation
126,bacterial intracellular survival; lpf; mammary pathogenic e. coli (mpec) strains; mpec colonization of mammary cells; persistent bovine mastitis
127,apparent viscosity; cheese without starter culture; natural cream; salmonella growth; storage period
128,artificial insemination (ai) timing; pregnancy loss; pregnancy per ai (p/ai); semen extender (cse); slo3 k+ channel blocker 4-(4-chlorophenyl)butyl-diethyl-heptylammonium
129,changes to husbandry practices; mo group; ms group; provision of support; reduction in lameness
130,breeding purposes; climate; feed resources; lower ch4 emission; lower ch4-emissions
131,casein genes; csn3 (κ-casein); dairy species; horses; nonsynonymous mutations
132,acute pulmonary thromboembolism; bleeding time; f-wmrp; lactobacillus gasseri h10; wmrp
133,basal roughage diet; challenged feeding of concentrate; concentrate feeding at 2.5% of lw; economic return; quality mutton
134,"cholesterol from large, high density lipoproteins; cholesterol from small, high density lipoproteins; cholesterol to protein ratio; lipoproteins; progesterone production"
135,animal welfare; animal-based measures; behaviour development; neuromodulators; resource-based measures
136,acidification fermentation; gwas analysis; industrial potential of l. delbrueckii ssp. bulgaricus; population genomics; sucrose-fortified reconstituted skim milk
137,genes encoding for transporters and enzymes; ruminal tissue; ussing chambers; vfa metabolism; volatile fatty acid (vfa) absorption
138,analytical sensitivity; detectable signal; lamp assays; lysing enzymes pretreatment; strep. uberis strains
139,contaminated drinking water; cryptosporidial enteritis; human wastes; livestock wastes; oocysts of cryptosporidia
140,chinese traditional fermented products; lactococcus isolates; mixed culture; starter cultures; technological characteristics
141,ammonia treatment; nh3 n fractions; rumen-insoluble n fractions; soluble n fractions; total n fractions
142,antioxidative defense mechanism; cholesterol metabolism; cholesterol regulation; cholesterol synthesis; cmrp and f-cmrp
143,models with dominance; models with heterosis; models with inbreeding; models with interactions; predictions for individual matings
144,cheese odor and rind color; core hardness; creamy underrind thickness and consistency; penicillium camemberti appearance; sensory changes in camembert cheeses
145,equation; further refinements; independent evaluation; root mean square prediction error; standard error of prediction
146,cephapirin benzathine; jersey heifers; mammary secretion; staphylococcus aureus mastitis; tissue
147,bifidobacterium animalis ssp. lactis probio-m8 strain; biochemical parameters; fecal metagenomes; liver health; probiotic-fermented milk
148,calcium salts of cla; calcium salts of trans-c18:1; linoleic acid concentrations; linolenic acid concentrations; short- to medium-chain fatty acid concentrations
149,adhesion ability; hydrophilicity; lpxtg-motif protein; stability; stress tolerance
150,academic disciplines; agricultural sciences; animal and poultry sciences (apsc); biochemistry; students' majors
151,bulk tank milk samples; gram-negative count; presumptive streptococcus count; staphylococcus count; total bacterial count
152,bound water; calcium; salt diffusion; sodium diffusion; water distribution in mozzarella cheese
153,combined data; genetic information; metabolic models; milk performance-based models; predictive performance
154,australia; japan; new zealand; study location; united states
155,age at time of transportation; distance of transportation; time in transit; transport-related variables; vehicle-related factors
156,cooled air temperature; cooling cows in stalls; heat stress alleviation; mist delivery frequency; scs
157,dd; disorders; ih; su; wd
158,akt abundance in con cows; eif2a abundance; hs; protein 70 abundance; slc2a4 abundance
159,galactose levels; insoluble calcium levels; lactic acid levels; lactose levels; llc and mlc cheeses
160,acetic acid; buffer fluid; butyric acid; propionic acid; vfa
161,cu concentration in plasma; dressed carcass percentage; inorganic zn; organic zn; zn concentration in plasma
162,data set; generalized linear model; logistic analysis; multivariable logistic analysis; sas 9.4
163,east-end and west-end; inside and outside; naturally ventilated barn; north-side and south-side; temperature differences
164,risk of early lactation clinical mastitis; serum beta-carotene concentration; serum retinol concentration; serum vitamin e (alpha-tocopherol) concentration
165,nh3 treatment; nutrient use; plant protein preservation; wilting alfalfa
166,amino acid requirements; conventional factorial methods; factorial methods; precision-feeding systems
167,crossbreeding effects; estimated breeding values; future performance; genetic models
168,mount detection patch; ovarian structure evaluation; pgf2α injection; tai
169,holstein-friesian dam; holstein-friesian sire; jersey dam; jersey sire
170,beef farmers; cost-benefit evaluation; jersey fraction; rearing animals
171,color; odor; relative humidity (98%); temperature (16°c)
172,con-res feed; fetal venous - arterial difference in total α-aa; mel-res feed; uteroplacental flux of total α-aa
173,medium cs; polysaccharide-degrading enzymes; ruminal degradation of fiber; total tract degradation of nonfiber carbohydrates
174,ewe energy status; fetal development; macro- and microelements; maternal milk production
175,forward margin term structure; major swings in iofc; margin levels; market participants
176,"1,431 g of dm/d; 951 g of dm/d; high-protein, high-fat mr (hphf); high-protein, medium-fat mr (hpmf)"
177,citric acid (cac); fermentation products of the grain; hydrolysis of phytate phosphorus (p); lactic acid (lac)
178,copper concentration in milk; dgat1 k232a polymorphism; milk fatty acid composition; spontaneous oxidized flavor
179,air; di; ll in cows; sex of calves
180,additive genetic animal effects; eigenfunctions; moderate rank reduction; nonhereditary animal effects
181,facilitation techniques; farm-specific solutions; farmer participation; monitoring and additional support (ms)
182,animal breeding programs; genetic progress; in vitro production; oocytes selection
183,assumptions among traits; comparability of estimated evs; evs (estimated breeding values); trait definitions
184,casein micelles; colloidal calcium phosphate (ccp); crossflow microfiltration; β-lactoglobulin (β-lg)
185,danish cattle database; danish dairy herds; data variables; violations of animal welfare legislation
186,farm type; perception of lameness as a problem; producer-estimated lameness prevalence; researcher-estimated lameness prevalence
187,combined treatment; degradation of residual cell wall monosaccharides; residual cell wall monosaccharides; so2-treated straw
188,atomic force microscopy; biofilm microstructure; scanning electron micrographs; scanning electron microscopy
189,b. cereus detection; c. sakazakii detection; enrichment; salmonella enteritidis detection
190,bovine liver; ob-ra mrna; pituitary body; spleen
191,ammonia odor; dark brown color; over-ripening; runny texture
192,blood glucose concentrations; blood insulin concentrations; glucose infusion; preinfusion values
193,antibiotic treatments; control-group cows; interdependence of quarter infections; internal teat-sealant treatments
194,adenosine; lipolysis in adipose tissue; responsiveness to adenosine; sensitivity to adenosine
195,functional genomics; l. delbrueckii ssp. bulgaricus strains; naturally fermented dairy products; population genetics
196,ay intake; catenibacterium pathogens; dorea; dorea pathogens
197,d'man breed; extreme temperatures; oases; pastures
198,bovine respiratory disease (brd); clinical scoring systems; respiratory pathogens; weaned dairy calves
199,depression; lethargy; separation from the group; sickness in calves
200,2-tier california brd postweaning scoring system; judicious medical intervention; monitoring brd; reduction of unnecessary antimicrobial treatments
201,accuracy of dmi prediction; dry matter intake (dmi) prediction; precision of dmi prediction; rumination time (rt)
202,dmi prediction accuracy; dmi prediction precision; nrc model; rt
203,bacterial challenge; cytokine; milk production levels; somatic cell counts
204,breeding scheme; financial impacts; for strategies; organisational efforts
205,"232a allele; c16:0 fa; c18:2 cis-9,trans-11 conjugated linoleic acid; proportions of long-chain fatty acids"
206,dam characteristics; environmental factors; insulin traits in newborn holstein calves; milk production during gestation
207,1-carbon metabolism; homeostasis; insulin signaling; mtor
208,age at first calving; first-lactation production; genetically improved heifer; rearing practice
209,iodine; minerals; organic dairy cattle; seaweeds from the galician coast
210,eu maximum; eu maximum authorised levels in feed; mineral composition of the diet; physiological requirements
211,conventional corn hybrids; corn rootworm protection gene; glyphosate tolerance gene; nutritional value of corn
212,cab abstracts; pubmed; study search; web of science
213,ala enrichment of milk; ala enrichment of plasma; flaxseed treatment; lactational performance
214,animal response parameters; compliance with animal welfare legislation; official animal welfare inspections; resource measures
215,cpn60 gene; lamp target; paua gene; soda gene
216,experimental results; storage conditions; storage durations; storage protocols
217,lactobacillus bacteria; lactococcus bacteria; lethality; pressure
218,hypoallergenic properties; mare milk; naturopathy; nutritive value
219,dna level; nonsynonymous nucleotide exchanges; protein isoforms; synonymous nucleotide exchanges
220,cryptosporidiosis; cryptosporidium parvum; intestinal disease; zoonotic potential
221,biofilms; membrane cleaning process; scanning
222,biofilm micro- and nanostructure; feed substrates; resistance to cleaning
223,higher scc; production loss; scc (somatic cell count) before treatment
224,factorial models; feeding phase; ileal digestible (sid) lysine (lys) requirements
225,body paralysis; death; pulmonary thromboembolism
226,genomic effects; linear models; nonlinear models
227,mates; mendelian sampling; phenotyped progeny
228,foreign records; multitrait genomic models; traits with many missing records
229,leptin receptor isoforms; peripheral tissues; prepubertal bovine mammary glands
230,fibrolytic activities of ruminal fluid; microbial protein flow to the intestine; reduced ruminal protozoal population
231,animal behavior; animal-keeper; visual analogue scales
232,cheese dryness; relative humidity (88%); temperature (8°c)
233,cheese sensory qualities; marketability; optimal ripening conditions
234,bcaa; maternal concentrations; uterine flux
235,missing values; multiple imputation; regression models
236,intramammary e. coli infusion; local signs of inflammation; systemic disease
237,acute-phase reaction; bovine infection model; hyporetinemia
238,cytotoxicity; lpf1a mutant; lpf2a mutant
239,median lethal dose (ld50); ∆lpf1a∆lpf2a mutant; ∆lpf2a mutant
240,ld50 of the mutant; lpf1 deficiency; lps/tlr4-mediated inflammatory response
241,metabolite production; penicillium caseifulvum; yellow discoloration of blue cheese
242,digestion; particle fraction retained between 1.18- and 8-mm; rumen conditions
243,cow; quarter; sire
244,antibiotic dry cow strategies; internal teat-sealant dry cow strategies; quarter infections
245,antibiotic dry cow strategy; risk of intramammary infection at calving; teat seal dry cow strategy
246,dietary dry matter intake (dmi); rup contents of feeds; variable rup content
247,covariance matrices; nonpositive definiteness; polygenic breeding values
248,block version; block version of successive underrelaxation; global iteration
249,convergence; iterative method; simulated example
250,computing products; efficient methods; memory requirements
251,a(22); g; genomic
252,fermented dairy products; genome sequences; geographical sites
253,lbw; low birth weight (lbw); maternal serum mg level
254,beet pulp; diet concentrations of ndf; high-moisture corn
